GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,forestPct,devPct,sumCarPeKm,pct_nonWhi,categ
450299701001,39.382,19.185,0.56,11.101,70.228,9.401,28.544,57.933,Majority white
130210139003,2.459,47.313,0.17,4.731,54.673,25.334,31.641,57.895,Majority white
131999708022,35.612,6.852,18.158,21.544,82.166,10.791,33.012,57.895,Majority white
371319202023,27.405,18.094,2.039,14.797,62.335,7.585,33.016,57.792,Majority white
370610908011,6.379,10.524,0.405,34.655,51.963,14.167,28.058,57.74,Majority white
130990902003,35.453,5.262,6.525,16.067,63.307,4.221,25.794,57.681,Majority white
450279606002,22.441,26.73,2.106,10.365,61.642,17.03,27.308,57.672,Majority white
370179506012,12.557,14.712,0.299,22.86,50.428,20.416,24.317,57.669,Majority white
132719501011,39.321,12.551,0.274,11.909,64.055,8.656,23.753,57.57,Majority white
131510704112,35.894,1.791,11.467,11.004,60.156,21.73,27.204,57.536,Majority white
132110103012,28.919,5.761,15.442,17.195,67.317,14.441,28.127,57.265,Majority white
131899503001,32.991,2.186,6.22,9.779,51.176,35.5,34.14,57.233,Majority white
130619603001,32.722,3.613,2.573,18.196,57.104,9.075,24.264,57.21,Majority white
450350102003,28.887,20.883,1.198,9.925,60.893,20.152,30.018,57.154,Majority white
450679507002,15.491,43.408,0.519,8.188,67.606,9.827,37.006,57.096,Majority white
130990901002,19.902,23.914,0.39,10.975,55.181,4.269,24.23,57.047,Majority white
131979202002,40.265,5.839,0.655,30.287,77.046,5.134,29.303,57.02,Majority white
450539501004,29.58,49.984,1.407,6.725,87.696,5.203,46.301,56.899,Majority white
450750118021,23.026,19.342,1.694,8.949,53.011,12.325,22.428,56.852,Majority white
133097802003,44.565,9.714,0.039,11.39,65.708,11.27,25.263,56.702,Majority white
132699503011,26.193,4.634,0.09,22.93,53.847,18.111,16.633,56.676,Majority white
131339503042,18.189,1.296,9.286,23.835,52.606,18.267,28.702,56.656,Majority white
132639603001,36.265,3.219,0.556,36.893,76.933,8.681,27.915,56.539,Majority white
132437902004,49.687,3.559,0.289,21.858,75.393,10.642,26.058,56.486,Majority white
370079205023,23.766,4.961,16.187,7.919,52.833,35.471,36.307,56.472,Majority white
132599501002,38.151,3.571,2.077,37.241,81.04,5.774,36.468,56.464,Majority white
131210104022,27.136,4.869,28.062,12.685,72.752,18.938,41.16,56.414,Majority white
450099601011,35.442,16.771,6.347,6.345,64.905,16.067,38.242,56.41,Majority white
450379702011,50.853,1.149,3.485,29.233,84.72,7.846,40.11,56.386,Majority white
450750120001,27.275,17.361,0.201,13.082,57.919,15.778,24.629,56.344,Majority white
371819602001,20.283,4.258,25.414,21.648,71.603,13.31,38.398,56.234,Majority white
130279605001,31.323,17.597,2.613,16.842,68.375,8.166,28.592,56.217,Majority white
370779705003,21.721,5.687,17.994,14.468,59.87,17.13,30.884,56.216,Majority white
371419205011,37.03,12.985,1.87,9.317,61.202,10.731,25.226,56.181,Majority white
133097802001,52.221,10.024,0.383,14.61,77.238,5.306,27.318,56.154,Majority white
370479309003,0.096,48.81,0,1.879,50.785,42.004,40.626,56.042,Majority white
450679508002,19.512,59.836,0.71,5.592,85.65,4.454,49.43,55.927,Majority white
371190060052,14.027,4.929,25.959,9.621,54.536,35.349,44.074,55.913,Majority white
131350506252,15.714,5.787,30.483,5.93,57.914,41.091,40.93,55.709,Majority white
131339502001,44.446,3.646,8.804,22.964,79.86,6.698,41.875,55.691,Majority white
450819602014,42.098,1.631,2.099,16.148,61.976,17.327,22.338,55.659,Majority white
133019705003,46.305,3.244,2.43,25.765,77.744,6.831,33.62,55.623,Majority white
450659201001,35.602,2.31,6.988,32.651,77.551,6.269,43.753,55.589,Majority white
450499204011,21.552,28.215,0.496,6.222,56.485,10.286,26.294,55.556,Majority white
131911102021,25.109,29.136,0.118,1.846,56.209,31.974,26.648,55.483,Majority white
450379702044,36.735,0.354,11.8,23.285,72.174,15.88,41.757,55.237,Majority white
130970804072,18.487,2.786,31.088,3.859,56.22,38.412,33.727,55.233,Majority white
