GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,devPct,sumCarPeKm,pct_nonWhi,categ
132679502023,22.633,17.749,0.078,10.534,16.849,20.016,25.014,Majority white
132679502032,17.269,11.231,0.097,1.425,43.643,14.534,48.577,Majority white
132679504023,5.414,11.804,0.144,3.606,40.949,11.45,21.503,Majority white
132679503003,0,0,0,0,99.586,4.229,72.097,Majority Minority
132190303001,10.251,1.578,12.044,4.6,48.575,22.559,11.225,Majority white
132679502031,13.217,8.684,0.055,2.78,53.554,19.125,40.786,Majority white
132679503004,36.629,12.127,0.191,6.532,9.252,19.539,20.263,Majority white
132679504021,0.432,0.528,0,0.144,79.717,5.98,29.122,Majority white
132190303003,19.9,3.245,16.269,7.098,27.147,27.043,4.852,Majority white
132190304023,10.801,1.261,10.862,8.645,60.13,21.646,12.901,Majority white
130719709011,37.776,14.366,0.113,10.512,6.23,22.817,5.319,Majority white
132190302022,7.668,0.761,16.736,8.947,58.696,34.976,16.342,Majority white
132190301041,16.072,4.991,18.227,5.497,42.414,31.827,10.916,Majority white
130719709014,17.792,12.685,0.336,8.127,8.272,15.906,6.464,Majority white
130719709021,15.124,8.804,0.106,3.504,14.224,11.074,29.167,Majority white
130719709013,16.702,15.696,0.165,4.943,11.752,16.519,9.212,Majority white
130719709012,29.458,18.623,0.212,7.947,8.659,19.371,3.292,Majority white
130719709024,13.6,13.726,0.204,4.121,12.133,13.444,15.653,Majority white
130719702004,20.43,11.179,0.062,7.024,8.632,12.665,12.732,Majority white
130719706021,15.244,15.481,0.068,5.769,13.056,14.941,18.166,Majority white
130719706022,24.806,16.347,0.093,4.736,18.435,16.935,36.313,Majority white
130719707033,1.638,7.071,0.149,1.861,83.59,11.078,46.66,Majority white
130719707022,0,0,0,0,99.965,9.884,62.595,Majority white
130719707042,5.038,1.179,0.295,0.027,70.019,14.294,43.162,Majority white
130719706012,27.758,10.406,0.272,1.239,48.622,27.756,9.483,Majority white
130719702003,25.33,10.182,0.087,6.004,10.14,15.732,6.528,Majority white
130719707031,23.562,16.273,0.222,2.755,33.154,23.884,22.291,Majority white
130719707032,18.084,8.201,0.07,3.729,38.419,14.624,33.682,Majority white
130719707041,0.599,0,0,0.092,96.943,15.541,26.505,Majority white
130719703023,20.744,9.655,0.049,2.13,23.045,11.806,23.105,Majority white
130719709022,21.851,12.571,0.063,2.128,14.264,15.673,21.122,Majority white
130719701022,31.01,19.337,0.086,4.613,11.006,22.304,33.992,Majority white
130719706011,25.173,15.214,0.175,6.39,11.658,17.246,17.534,Majority white
130719706023,5.145,4.328,0.02,1.995,34.962,5.856,42.659,Majority white
130719709023,28.882,10.352,0.034,0.954,20.45,15.485,42.884,Majority white
130719703021,14.163,12.08,0.61,2.917,31.477,18.798,54.444,Majority white
130719701012,30.647,8.839,0.083,6.93,7.672,16.241,24.683,Majority white
130719702001,19.996,10.059,0.087,5.716,6.72,12.867,20.096,Majority white
130719703022,17.198,4.94,0.015,2.715,17.425,8.159,27.81,Majority white
130719701011,18.72,8.242,0.082,4.3,20.346,12.818,27.963,Majority white
130719701021,15.565,16.99,0.069,4.983,8.336,15.714,25.986,Majority white
130719701013,22.478,9.274,0.065,7.497,7.607,13.164,16.153,Majority white
130719705003,29.347,15.843,0.083,9.394,7.796,22.507,14.749,Majority white
130719703013,0,0,0,0,100.331,1.208,95.828,Majority Minority
130719705002,17.932,6.812,0.037,5.346,11.409,12.298,30.108,Majority white
130719703011,0,0,0,0,100.03,4.571,90.948,Majority Minority
130719703012,0.318,0.212,1.165,0,97.187,9.552,95.166,Majority Minority
132171003012,12.195,6.863,8.087,6.457,63.232,21.656,73.597,Majority Minority
132171003011,7.434,11.917,9.409,4.549,60.496,29.302,32.242,Majority white
132171007022,0.059,0.029,7.938,3.146,87.616,25.19,76.44,Majority Minority
132171009044,19.079,3.106,21.489,3.446,36.703,31.938,47.934,Majority white
132171001014,17.937,7.886,16.064,5.277,27.993,28.289,24.968,Majority white
132171007011,0,0,16.09,7.111,75.934,31.28,55.946,Majority white
132171001023,14.958,5.272,20.104,3.804,50.658,42.803,29.126,Majority white
132171002031,20.939,1.807,14.262,6.738,19.235,17.793,12.597,Majority white
132171005051,0.097,0,7.257,0.581,86.261,14.256,76.347,Majority Minority
132171008012,6.826,4.559,10.885,3.589,59.472,39.345,41.543,Majority white
132171008013,20.295,2.131,20.634,16.131,20.685,35.689,26.946,Majority white
132171002042,22.41,2.525,15.688,6.398,21.487,23.519,14.03,Majority white
132171002041,19.593,12.913,18.183,7.592,28.334,35.871,22.186,Majority white
132171003022,19.244,2.63,20.982,3.162,41.878,29.229,52.93,Majority white
130950004004,0.039,0,0,0,97.949,5.269,72.204,Majority Minority
130950113002,13.717,25.258,0.636,6.757,29.901,32.293,19.932,Majority white
130950107012,0.308,0,0,0,95.416,16.259,87.747,Majority Minority
130950107022,2.625,6.287,0.977,6.623,69.005,19.665,92.415,Majority Minority
130950107013,0,0,0,0,100.461,11.195,91.183,Majority Minority
